match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
nag_1,nag,N/A,1,N/A,nag_1,nag_1,N/A,N/A
nag_2,nag,N/A,10,N/A,nag_1,nag_1,N/A,N/A
nag_3,nag,N/A,2,N/A,nag_1,nag_1,N/A,N/A
nag_4,nag,N/A,3,N/A,nag_1,nag_1,N/A,N/A
nag_5,nag,N/A,4,N/A,nag_1,nag_1,N/A,N/A
nag_6,nag,N/A,5,N/A,nag_1,nag_1,N/A,N/A
nag_7,nag,N/A,6,N/A,nag_1,nag_1,N/A,N/A
nag_8,nag,N/A,7,N/A,nag_1,nag_1,N/A,N/A
nag_9,nag,N/A,8,N/A,nag_1,nag_1,N/A,N/A
nag_10,nag,N/A,9,N/A,nag_1,nag_1,N/A,N/A
